-0.9935,-0.99304,-0.85029,-0.96348,-0.96073,-0.9006,-0.96642,-0.864,-0.60618,-0.99929,0.081189,0.6511,90
-0.99892,-1,-0.66796,-0.92507,-0.9655,-0.96024,-0.9597,-0.96609,-0.95262,-0.99858,-0.98747,0.0092159,88
-0.93279,-0.73217,-0.40294,-0.90512,-0.94164,-0.86084,-0.95299,-0.61062,-0.70312,-0.99702,-0.96642,0.17207,85
-0.99458,-1,-0.25517,-0.90587,-0.9376,-0.90159,-0.91336,-0.58477,-0.80727,-1,-0.97026,-0.13284,81
-0.95447,-0.8087,-0.37984,-0.90851,-0.91301,-0.74155,-0.84553,-0.84404,-0.4137,-0.9983,-0.95389,-0.096104,79
-0.99458,-0.99652,-0.74435,-0.95256,-0.97064,-0.96024,-0.93956,-0.8259,-0.88275,-0.99915,-0.62646,-0.09887,92
-0.99675,-1,-0.91505,-0.97779,-0.98532,-0.70179,-0.89926,-0.93098,-0.9564,-1,-0.96091,0.61073,82
-0.99241,-0.98261,-0.80103,-0.9119,-0.95852,-0.96024,-0.97985,-0.43147,-0.25473,-0.99731,-0.5862,-0.075354,90
-0.82764,-0.86087,-0.62306,-0.88968,-0.90641,-0.9006,-0.96642,-0.80993,-0.76896,-0.99872,-0.91965,-0.046389,87
-0.99892,-1,-0.48111,-0.90023,-0.94017,-0.9006,-0.89255,-0.68413,-0.8587,-1,-0.91246,-0.0012718,86
-0.99024,-0.98957,-0.75501,-0.96235,-0.96586,-0.88072,-0.9597,-0.79358,-0.8776,-1,-0.90645,-0.042773,87
-0.98808,-0.99304,-0.74516,-0.97364,-0.96036,-0.96024,-0.98657,-0.93997,-0.89746,-1,-0.90377,-0.047458,93
-0.99783,-0.99652,-0.14519,-0.8494,-0.902,-0.98012,-0.99328,-0.98232,-0.82928,-0.99894,-0.9838,-0.095003,84
-0.9935,-0.99304,-0.68815,-0.9567,-0.96146,-0.94036,-0.97985,-0.96959,-0.93444,-1,-0.80855,-0.0092391,92
-0.81355,-0.60696,-0.78714,-0.93788,-0.95339,-0.94036,-0.88616,-0.7931,-0.88651,-0.47342,-0.99382,-0.99999,0
-0.91111,-0.84696,-0.63937,-0.94352,-0.88401,-0.94036,-0.97985,-0.92271,-0.91793,-0.99844,-0.92783,0.17696,94
-0.95989,-0.82956,-0.26389,-0.74887,-0.83483,-0.74155,-0.97314,-0.79266,-0.75711,-0.99972,-0.96124,-0.042583,81
-0.98591,-0.95826,-0.55588,-0.82944,-0.92366,-0.94036,-0.93284,-0.48395,-0.35119,-0.99844,-0.97244,-0.069365,91
-0.97398,-0.8887,-0.94993,-0.98682,-0.99266,-0.80119,-0.93284,-0.92763,-0.96287,-0.99986,-0.38557,0.62208,83
-0.92737,-0.68696,-0.71883,-0.95294,-0.98018,-0.88072,-0.92612,-0.9683,-0.97549,-0.99979,-0.89325,-0.090348,90
-0.98374,-0.98261,-0.72771,-0.87312,-0.92586,-0.9006,-0.96642,-0.92798,-0.89755,-0.99929,-0.99048,0.36163,88
-0.99566,-1,-0.69961,-0.92357,-0.92916,-0.76143,-0.97314,-0.89614,-0.94729,-0.99979,-0.82108,-0.061022,89
-0.98916,-0.98609,-0.41457,-0.92244,-0.94091,-0.88072,-0.96642,-0.84362,-0.87705,-0.99929,-0.76762,-0.010126,87
-0.98808,-0.97913,-0.28844,-0.93261,-0.94201,-0.62326,-0.83244,-0.93243,-0.92943,-0.99759,-0.86051,0.3704,76
-0.99458,-0.98609,-0.76437,-0.97666,-0.96513,-0.98012,-0.99328,-0.96693,-0.96833,-0.99965,-0.9569,-0.093664,92
-0.99133,-0.98957,-0.38098,-0.73795,-0.91301,-0.9006,-0.97314,-0.63302,-0.81626,-0.99603,-0.98263,0.15482,83
-0.99783,-1,-0.9438,-0.98419,-0.98899,-0.80119,-0.93284,-0.94835,-0.91894,-1,0.075509,0.65118,90
