0.16385,0.16392,0.20887,0.17696,0.43547,-1.1861,-0.43081
0.8685,0.87247,0.96475,0.83003,0.33846,-1.5762,-0.37679
-0.026032,-0.19421,-0.024095,-0.18035,0.54462,-1.3264,-0.20641
-0.36571,-0.60877,-0.36225,-0.45449,0.39318,-1.0921,-0.31726
0.29911,0.1359,0.39485,0.19126,0.44203,-0.88898,-0.62629
-0.67639,-0.89518,-0.71639,-0.87889,0.51597,-1.2771,1.7665
-0.11453,-0.2733,-0.12577,-0.26659,0.43192,-1.3494,0.015415
1.2131,1.0901,1.1667,1.0842,0.50657,-0.93139,-1.5331
0.3481,0.1727,0.37899,0.23673,0.54455,-1.109,-1.2914
-0.1921,-0.38736,-0.16364,-0.24986,0.52573,-0.84613,-0.79133
0.16257,-0.0016687,0.25137,0.05921,0.42875,-1.1235,-0.23683
-0.33945,-0.50808,-0.26115,-0.43599,0.29393,-1.293,0.30118
0.040418,-0.076152,0.094145,-0.027134,0.33138,-1.3648,0.20612
-0.44991,-0.57467,-0.43111,-0.59397,0.50358,-1.0359,0.35421
-0.50707,-0.77528,-0.46795,-0.58955,0.53343,-0.95282,-0.47064
0.3395,0.31947,0.35505,0.29362,0.49232,-1.4216,-0.63457
0.61103,0.56498,0.67489,0.60558,0.33482,-0.73862,-0.41916
-0.35003,-0.55801,-0.28996,-0.50102,0.40484,-1.4163,0.055864
-0.59087,-0.77044,-0.55307,-0.67603,0.47053,-1.1048,-0.27858
0.33463,0.14825,0.4151,0.19514,0.45189,-1.4535,-0.52401
-0.41604,-0.69329,-0.4246,-0.61138,0.46422,-1.3537,-0.32251
0.70328,0.52966,0.78372,0.59407,0.41583,-0.85758,-0.50144
0.49322,0.48634,0.29247,0.39693,0.52515,-1.4168,-1.9807
0.54516,0.45302,0.40719,0.38896,0.39469,-1.23,-0.47421
0.59635,0.36297,0.69022,0.47599,0.50891,-0.78976,-0.66658
0.42345,0.40573,0.45205,0.38306,0.47933,-1.1742,-0.5608
0.32496,0.21892,0.33827,0.20399,0.39006,-1.4765,-1.0722
1.0971,1.0248,1.1582,1.0394,0.48804,-0.87497,-0.44823
-0.19635,-0.38095,-0.16038,-0.26596,0.34015,-0.94065,-0.49496
0.12418,-0.04821,0.18782,0.045043,0.33072,-0.7947,-0.30516
